id,plot,block,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,botanist,accumulatedCov,speciesRichness,shannon,surveyYearF,botanistYear
L1_01_2018,L1_01,1,1,0,15,1,hay_meadow,4,2018,Jakob_Huber,83.5,5,0.222347178,2018,Jakob_Huber2018
L1_01_2019,L1_01,1,1,0,15,1,hay_meadow,4,2019,Linda_Weggler,67,20,2.251831182,2019,Linda_Weggler2019
L1_01_2020,L1_01,1,1,0,15,1,hay_meadow,4,2020,Jakob_Huber,68,17,1.960201812,2020,Jakob_Huber2020
L1_01_2021,L1_01,1,1,0,15,1,hay_meadow,4,2021,Markus_Bauer,87,26,2.640649187,2021,Markus_Bauer2021
L1_02_2018,L1_02,1,1,0,15,3,dry_grassland,4,2018,Jakob_Huber,64.5,5,0.322994064,2018,Jakob_Huber2018
L1_02_2019,L1_02,1,1,0,15,3,dry_grassland,4,2019,Linda_Weggler,52,12,1.565003381,2019,Linda_Weggler2019
L1_02_2020,L1_02,1,1,0,15,3,dry_grassland,4,2020,Jakob_Huber,65.5,17,1.845630129,2020,Jakob_Huber2020
L1_02_2021,L1_02,1,1,0,15,3,dry_grassland,4,2021,Markus_Bauer,92,20,2.182153397,2021,Markus_Bauer2021
L1_03_2018,L1_03,1,1,0,15,4,dry_grassland,8,2018,Jakob_Huber,71,7,0.421532456,2018,Jakob_Huber2018
L1_03_2019,L1_03,1,1,0,15,4,dry_grassland,8,2019,Linda_Weggler,60,8,1.085381876,2019,Linda_Weggler2019
L1_03_2020,L1_03,1,1,0,15,4,dry_grassland,8,2020,Jakob_Huber,86,17,0.713275587,2020,Jakob_Huber2020
L1_03_2021,L1_03,1,1,0,15,4,dry_grassland,8,2021,Markus_Bauer,61,16,2.112370053,2021,Markus_Bauer2021
L1_04_2018,L1_04,1,1,0,15,2,hay_meadow,8,2018,Jakob_Huber,82.5,6,0.184564805,2018,Jakob_Huber2018
L1_04_2019,L1_04,1,1,0,15,2,hay_meadow,8,2019,Linda_Weggler,62,13,1.431070735,2019,Linda_Weggler2019
L1_04_2020,L1_04,1,1,0,15,2,hay_meadow,8,2020,Jakob_Huber,64.5,18,1.3083145,2020,Jakob_Huber2020
L1_04_2021,L1_04,1,1,0,15,2,hay_meadow,8,2021,Markus_Bauer,60.5,16,2.311034068,2021,Markus_Bauer2021
L1_05_2018,L1_05,1,2,25,15,2,hay_meadow,8,2018,Jakob_Huber,33,7,0.467523322,2018,Jakob_Huber2018
