plot,area,subplot,treatment,numb.flow.spec,numb.spec,month,prop.flow.spec
11_1,11,11_1_3,late,2,11,Aug,18.1818
11_1,11,11_1_1,late,1,13,Sep,7.6923
11_1,11,11_1_2,late,1,12,Aug,8.3333
11_1,11,11_1_3,late,2,11,Jul,18.1818
11_1,11,11_1_2,late,0,12,Sep,0
11_1,11,11_1_3,late,0,11,May,0
11_1,11,11_1_2,late,2,12,Jul,16.6667
11_1,11,11_1_2,late,0,12,May,0
11_1,11,11_1_3,late,1,11,Jun,9.0909
11_1,11,11_1_2,late,1,12,Jun,8.3333
11_1,11,11_1_1,late,1,13,Jul,7.6923
11_1,11,11_1_1,late,0,13,May,0
11_1,11,11_1_1,late,1,13,Aug,7.6923
11_1,11,11_1_3,late,1,11,Sep,9.0909
11_1,11,11_1_1,late,1,13,Jun,7.6923
11_2,11,11_2_2,early,0,16,May,0
11_2,11,11_2_1,early,1,12,Aug,8.3333
11_2,11,11_2_2,early,0,16,Jul,0
11_2,11,11_2_1,early,0,12,May,0
11_2,11,11_2_1,early,1,12,Jun,8.3333
11_2,11,11_2_2,early,1,16,Jun,6.25
11_2,11,11_2_1,early,0,12,Jul,0
11_2,11,11_2_3,early,1,16,Aug,6.25
11_2,11,11_2_2,early,0,16,Sep,0
11_2,11,11_2_3,early,2,16,Sep,12.5
11_2,11,11_2_1,early,1,12,Sep,8.3333
11_2,11,11_2_2,early,0,16,Aug,0
11_2,11,11_2_3,early,1,16,Jun,6.25
11_2,11,11_2_3,early,0,16,Jul,0
11_2,11,11_2_3,early,0,16,May,0
11_3,11,11_3_3,late,3,15,Aug,20
11_3,11,11_3_2,late,2,17,Sep,11.7647
11_3,11,11_3_3,late,1,15,Sep,6.6667
11_3,11,11_3_2,late,2,17,Aug,11.7647
11_3,11,11_3_3,late,1,15,Jun,6.6667
11_3,11,11_3_3,late,3,15,Jul,20
11_3,11,11_3_1,late,1,15,Sep,6.6667
11_3,11,11_3_2,late,1,17,Jun,5.8824
11_3,11,11_3_2,late,0,17,May,0
11_3,11,11_3_3,late,0,15,May,0
11_3,11,11_3_2,late,3,17,Jul,17.6471
11_3,11,11_3_1,late,2,15,Aug,13.3333
11_3,11,11_3_1,late,2,15,Jul,13.3333
11_3,11,11_3_1,late,0,15,Jun,0
11_3,11,11_3_1,late,0,15,May,0
11_4,11,11_4_2,early,2,14,Sep,14.2857
11_4,11,11_4_3,early,2,9,Jun,22.2222
11_4,11,11_4_3,early,0,9,Sep,0
11_4,11,11_4_3,early,0,9,Aug,0
11_4,11,11_4_2,early,0,14,May,0
11_4,11,11_4_3,early,0,9,Jul,0
11_4,11,11_4_1,early,1,10,Sep,10
11_4,11,11_4_2,early,2,14,Aug,14.2857
11_4,11,11_4_1,early,0,10,Aug,0
11_4,11,11_4_3,early,0,9,May,0
11_4,11,11_4_2,early,0,14,Jul,0
11_4,11,11_4_2,early,2,14,Jun,14.2857
11_4,11,11_4_1,early,0,10,Jul,0
11_4,11,11_4_1,early,2,10,Jun,20
11_4,11,11_4_1,early,0,10,May,0
2_1,2,2_1_3,early,3,23,Sep,13.0435
2_1,2,2_1_3,early,0,23,Jul,0
2_1,2,2_1_2,early,3,23,Aug,13.0435
2_1,2,2_1_3,early,4,23,Jun,17.3913
2_1,2,2_1_2,early,2,23,Jun,8.6957
2_1,2,2_1_3,early,4,23,Aug,17.3913
2_1,2,2_1_3,early,3,23,May,13.0435
2_1,2,2_1_2,early,0,23,Sep,0
2_1,2,2_1_1,early,3,22,Sep,13.6364
2_1,2,2_1_1,early,3,22,Jun,13.6364
2_1,2,2_1_2,early,0,23,Jul,0
2_1,2,2_1_2,early,1,23,May,4.3478
2_1,2,2_1_1,early,2,22,Aug,9.0909
2_1,2,2_1_1,early,0,22,Jul,0
2_1,2,2_1_1,early,1,22,May,4.5455
2_2,2,2_2_3,late,1,23,Jun,4.3478
2_2,2,2_2_2,late,3,24,Sep,12.5
2_2,2,2_2_3,late,2,23,Aug,8.6957
2_2,2,2_2_1,late,3,23,Aug,13.0435
2_2,2,2_2_2,late,3,24,Aug,12.5
2_2,2,2_2_2,late,3,24,Jul,12.5
2_2,2,2_2_3,late,2,23,Sep,8.6957
2_2,2,2_2_2,late,3,24,May,12.5
2_2,2,2_2_2,late,4,24,Jun,16.6667
2_2,2,2_2_3,late,1,23,May,4.3478
2_2,2,2_2_3,late,2,23,Jul,8.6957
2_2,2,2_2_1,late,2,23,May,8.6957
2_2,2,2_2_1,late,5,23,Jun,21.7391
2_2,2,2_2_1,late,2,23,Sep,8.6957
2_2,2,2_2_1,late,5,23,Jul,21.7391
2_3,2,2_3_1,late,3,21,Sep,14.2857
2_3,2,2_3_2,late,2,20,Jun,10
2_3,2,2_3_3,late,0,15,May,0
2_3,2,2_3_1,late,5,21,Jul,23.8095
2_3,2,2_3_1,late,3,21,Jun,14.2857
2_3,2,2_3_2,late,2,20,Jul,10
2_3,2,2_3_1,late,1,21,May,4.7619
2_3,2,2_3_1,late,3,21,Aug,14.2857
2_3,2,2_3_3,late,1,15,Sep,6.6667
2_3,2,2_3_2,late,3,20,Aug,15
