attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor
id,ID of the plot and the year of the survey,NA,"L = land	 1 = block | 01 = plot number within this block | 2018 = year",NA,NA,character,NA
plot,ID of the plot,NA,"L = land	 1 = block	 01 = plot number within this block	 plot W_5_08/09 is a plot between the plots W_5_08 and W_5_09 		",NA,NA,character,NA
block,ID of the block,NA,NA,NA,NA,factor,1 = block in the east;2;3;4;5;6 = block in the west
plotSize,size of the plot (2m x 2m),NA,NA,meterSquared,integer,numeric,NA
exposition,exposition of the plots,NA,NA,NA,NA,factor,north;south
side,on which side is the plot on the dike,NA,NA,NA,NA,factor,water;land
substrateType,type of substrate (combination of sandRatio and substrate Depth),NA,NA,NA,NA,factor,1;2;3;4;5;6
sandRatio,ratio of sand of the total substrate in weigth percentage,NA,NA,percent,real,factor,0;25;50
substrateDepth,the depht of the built in substrate (holes were digged in the existing dike and filled with prepared substrate),NA,NA,centimeter,integer,factor,15;30
seedmixType,there existed two types of hay meadow mixtures and two of dry grassland mixtures,NA,NA,NA,NA,factor,1;2;3;4
targetType,target of the seedmixture,NA,NA,NA,NA,factor,hay_meadow;dry_grassland
seedDensity,gram of seeds sown per square meter,NA,NA,gramPerMeterSquared,integer,factor,4;8
surveyYear,year of vegetation survey,YYYY,NA,NA,NA,date,NA
botanist,botanist of the vegetation survey,NA,botanist of the vegetation survey,NA,NA,character,NA
accumulatedCov,sumed covergage of all individual cover estimations of the species,NA,NA,percent,real,numeric,NA
speciesRichness,number of species per plot,NA,NA,dimensionless,integer,numeric,NA
shannon,Shannon diversity index,NA,NA,dimensionless,real,numeric,NA
latitude,Coordinates Y of site (EPSG: 4326 / WGS84),NA,NA,degree,real,numeric,NA
longitude,Coordinates X of site (EPSG: 4326 / WGS84),NA,NA,degree,real,numeric,NA
