plot,area,subplot,treatment,numb.flow.spec,numb.spec,month
11_1,11,11_1_3,late,2,11,Aug
11_1,11,11_1_1,late,1,13,Sep
11_1,11,11_1_2,late,1,12,Aug
11_1,11,11_1_3,late,2,11,Jul
11_1,11,11_1_2,late,0,12,Sep
11_1,11,11_1_3,late,0,11,May
11_1,11,11_1_2,late,2,12,Jul
11_1,11,11_1_2,late,0,12,May
11_1,11,11_1_3,late,1,11,Jun
11_1,11,11_1_2,late,1,12,Jun
11_1,11,11_1_1,late,1,13,Jul
11_1,11,11_1_1,late,0,13,May
11_1,11,11_1_1,late,1,13,Aug
11_1,11,11_1_3,late,1,11,Sep
11_1,11,11_1_1,late,1,13,Jun
11_2,11,11_2_2,early,0,16,May
11_2,11,11_2_1,early,1,12,Aug
11_2,11,11_2_2,early,0,16,Jul
11_2,11,11_2_1,early,0,12,May
11_2,11,11_2_1,early,1,12,Jun
11_2,11,11_2_2,early,1,16,Jun
11_2,11,11_2_1,early,0,12,Jul
11_2,11,11_2_3,early,1,16,Aug
11_2,11,11_2_2,early,0,16,Sep
11_2,11,11_2_3,early,2,16,Sep
11_2,11,11_2_1,early,1,12,Sep
11_2,11,11_2_2,early,0,16,Aug
11_2,11,11_2_3,early,1,16,Jun
11_2,11,11_2_3,early,0,16,Jul
11_2,11,11_2_3,early,0,16,May
11_3,11,11_3_3,late,3,15,Aug
11_3,11,11_3_2,late,2,17,Sep
11_3,11,11_3_3,late,1,15,Sep
11_3,11,11_3_2,late,2,17,Aug
11_3,11,11_3_3,late,1,15,Jun
11_3,11,11_3_3,late,3,15,Jul
11_3,11,11_3_1,late,1,15,Sep
11_3,11,11_3_2,late,1,17,Jun
11_3,11,11_3_2,late,0,17,May
11_3,11,11_3_3,late,0,15,May
11_3,11,11_3_2,late,3,17,Jul
11_3,11,11_3_1,late,2,15,Aug
11_3,11,11_3_1,late,2,15,Jul
11_3,11,11_3_1,late,0,15,Jun
11_3,11,11_3_1,late,0,15,May
11_4,11,11_4_2,early,2,14,Sep
11_4,11,11_4_3,early,2,9,Jun
11_4,11,11_4_3,early,0,9,Sep
11_4,11,11_4_3,early,0,9,Aug
11_4,11,11_4_2,early,0,14,May
11_4,11,11_4_3,early,0,9,Jul
11_4,11,11_4_1,early,1,10,Sep
11_4,11,11_4_2,early,2,14,Aug
11_4,11,11_4_1,early,0,10,Aug
11_4,11,11_4_3,early,0,9,May
11_4,11,11_4_2,early,0,14,Jul
11_4,11,11_4_2,early,2,14,Jun
11_4,11,11_4_1,early,0,10,Jul
11_4,11,11_4_1,early,2,10,Jun
11_4,11,11_4_1,early,0,10,May
2_1,2,2_1_3,early,3,23,Sep
2_1,2,2_1_3,early,0,23,Jul
2_1,2,2_1_2,early,3,23,Aug
2_1,2,2_1_3,early,4,23,Jun
2_1,2,2_1_2,early,2,23,Jun
2_1,2,2_1_3,early,4,23,Aug
2_1,2,2_1_3,early,3,23,May
2_1,2,2_1_2,early,0,23,Sep
2_1,2,2_1_1,early,3,22,Sep
2_1,2,2_1_1,early,3,22,Jun
2_1,2,2_1_2,early,0,23,Jul
2_1,2,2_1_2,early,1,23,May
2_1,2,2_1_1,early,2,22,Aug
2_1,2,2_1_1,early,0,22,Jul
2_1,2,2_1_1,early,1,22,May
2_2,2,2_2_3,late,1,23,Jun
2_2,2,2_2_2,late,3,24,Sep
2_2,2,2_2_3,late,2,23,Aug
2_2,2,2_2_1,late,3,23,Aug
2_2,2,2_2_2,late,3,24,Aug
2_2,2,2_2_2,late,3,24,Jul
2_2,2,2_2_3,late,2,23,Sep
2_2,2,2_2_2,late,3,24,May
2_2,2,2_2_2,late,4,24,Jun
2_2,2,2_2_3,late,1,23,May
2_2,2,2_2_3,late,2,23,Jul
2_2,2,2_2_1,late,2,23,May
2_2,2,2_2_1,late,5,23,Jun
2_2,2,2_2_1,late,2,23,Sep
2_2,2,2_2_1,late,5,23,Jul
2_3,2,2_3_1,late,3,21,Sep
2_3,2,2_3_2,late,2,20,Jun
2_3,2,2_3_3,late,0,15,May
2_3,2,2_3_1,late,5,21,Jul
2_3,2,2_3_1,late,3,21,Jun
2_3,2,2_3_2,late,2,20,Jul
2_3,2,2_3_1,late,1,21,May
2_3,2,2_3_1,late,3,21,Aug
2_3,2,2_3_3,late,1,15,Sep
2_3,2,2_3_2,late,3,20,Aug
2_3,2,2_3_2,late,0,20,May
2_3,2,2_3_3,late,3,15,Jul
2_3,2,2_3_3,late,2,15,Aug
2_3,2,2_3_2,late,3,20,Sep
2_3,2,2_3_3,late,1,15,Jun
2_4,2,2_4_1,early,1,16,May
2_4,2,2_4_3,early,0,15,Jul
2_4,2,2_4_3,early,2,15,Jun
2_4,2,2_4_2,early,0,16,Jul
2_4,2,2_4_2,early,2,16,Jun
2_4,2,2_4_3,early,1,15,Sep
2_4,2,2_4_2,early,2,16,Sep
2_4,2,2_4_1,early,2,16,Sep
2_4,2,2_4_1,early,2,16,Aug
2_4,2,2_4_1,early,0,16,Jul
2_4,2,2_4_3,early,2,15,Aug
2_4,2,2_4_3,early,0,15,May
2_4,2,2_4_2,early,0,16,May
2_4,2,2_4_1,early,2,16,Jun
2_4,2,2_4_2,early,1,16,Aug
5_1,5,5_1_2,early,1,18,Aug
5_1,5,5_1_3,early,2,17,Aug
5_1,5,5_1_1,early,3,24,Aug
5_1,5,5_1_2,early,2,18,Sep
5_1,5,5_1_3,early,0,17,Jul
5_1,5,5_1_2,early,0,18,Jul
5_1,5,5_1_3,early,1,17,Sep
5_1,5,5_1_1,early,4,24,Sep
5_1,5,5_1_3,early,1,17,Jun
5_1,5,5_1_1,early,0,24,Jul
5_1,5,5_1_2,early,2,18,Jun
5_1,5,5_1_3,early,0,17,May
5_1,5,5_1_1,early,3,24,Jun
5_1,5,5_1_2,early,1,18,May
5_1,5,5_1_1,early,2,24,May
5_2,5,5_2_3,late,1,28,Jun
5_2,5,5_2_2,late,3,24,Jun
5_2,5,5_2_2,late,1,24,Sep
5_2,5,5_2_3,late,2,28,Aug
5_2,5,5_2_1,late,2,20,Jun
5_2,5,5_2_1,late,1,20,Sep
5_2,5,5_2_3,late,2,28,Sep
5_2,5,5_2_3,late,3,28,Jul
5_2,5,5_2_1,late,2,20,May
5_2,5,5_2_3,late,0,28,May
5_2,5,5_2_2,late,5,24,Aug
5_2,5,5_2_2,late,5,24,Jul
5_2,5,5_2_2,late,0,24,May
5_2,5,5_2_1,late,3,20,Aug
5_2,5,5_2_1,late,2,20,Jul
5_3,5,5_3_2,late,1,26,Sep
5_3,5,5_3_1,late,3,24,Aug
5_3,5,5_3_2,late,4,26,Aug
5_3,5,5_3_3,late,3,25,Jul
5_3,5,5_3_1,late,1,24,Sep
5_3,5,5_3_1,late,3,24,Jul
5_3,5,5_3_2,late,3,26,Jul
5_3,5,5_3_3,late,3,25,Jun
5_3,5,5_3_3,late,3,25,Sep
5_3,5,5_3_2,late,4,26,Jun
5_3,5,5_3_3,late,1,25,May
5_3,5,5_3_1,late,1,24,Jun
5_3,5,5_3_3,late,1,25,Aug
5_3,5,5_3_1,late,0,24,May
5_3,5,5_3_2,late,2,26,May
5_4,5,5_4_1,early,0,24,Jul
5_4,5,5_4_1,early,2,24,Jun
5_4,5,5_4_1,early,1,24,May
5_4,5,5_4_2,early,2,20,Jun
5_4,5,5_4_2,early,0,20,Jul
5_4,5,5_4_3,early,2,19,Aug
5_4,5,5_4_2,early,2,20,May
5_4,5,5_4_3,early,0,19,May
