id,plot,block,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,accumulatedCov,speciesRichness,shannon
L1_01_2018,L1_01,1,4,south,land,1,0,15,1,hay_meadow,4,2018,80,Jakob Huber,83.5,5,0.222347178
L1_01_2019,L1_01,1,4,south,land,1,0,15,1,hay_meadow,4,2019,70,Linda Weggler,67,20,2.251831182
L1_01_2020,L1_01,1,4,south,land,1,0,15,1,hay_meadow,4,2020,70,Jakob Huber,68,17,1.960201812
L1_01_2021,L1_01,1,4,south,land,1,0,15,1,hay_meadow,4,2021,70,Markus Bauer,87,26,2.640649187
L1_02_2018,L1_02,1,4,south,land,1,0,15,3,dry_grassland,4,2018,65,Jakob Huber,64.5,5,0.322994064
L1_02_2019,L1_02,1,4,south,land,1,0,15,3,dry_grassland,4,2019,50,Linda Weggler,52,12,1.565003381
L1_02_2020,L1_02,1,4,south,land,1,0,15,3,dry_grassland,4,2020,60,Jakob Huber,65.5,17,1.845630129
L1_02_2021,L1_02,1,4,south,land,1,0,15,3,dry_grassland,4,2021,80,Markus Bauer,92,20,2.182153397
L1_03_2018,L1_03,1,4,south,land,1,0,15,4,dry_grassland,8,2018,70,Jakob Huber,71,7,0.421532456
L1_03_2019,L1_03,1,4,south,land,1,0,15,4,dry_grassland,8,2019,60,Linda Weggler,60,8,1.085381876
L1_03_2020,L1_03,1,4,south,land,1,0,15,4,dry_grassland,8,2020,80,Jakob Huber,86,17,0.713275587
L1_03_2021,L1_03,1,4,south,land,1,0,15,4,dry_grassland,8,2021,50,Markus Bauer,61,16,2.112370053
L1_04_2018,L1_04,1,4,south,land,1,0,15,2,hay_meadow,8,2018,80,Jakob Huber,82.5,6,0.184564805
L1_04_2019,L1_04,1,4,south,land,1,0,15,2,hay_meadow,8,2019,60,Linda Weggler,62,13,1.431070735
L1_04_2020,L1_04,1,4,south,land,1,0,15,2,hay_meadow,8,2020,60,Jakob Huber,64.5,18,1.3083145
L1_04_2021,L1_04,1,4,south,land,1,0,15,2,hay_meadow,8,2021,50,Markus Bauer,60.5,16,2.311034068
L1_05_2018,L1_05,1,4,south,land,2,25,15,2,hay_meadow,8,2018,30,Jakob Huber,33,7,0.467523322
L1_05_2019,L1_05,1,4,south,land,2,25,15,2,hay_meadow,8,2019,60,Linda Weggler,63,20,1.904374045
L1_05_2020,L1_05,1,4,south,land,2,25,15,2,hay_meadow,8,2020,70,Jakob Huber,67.5,23,1.789704845
L1_05_2021,L1_05,1,4,south,land,2,25,15,2,hay_meadow,8,2021,70,Markus Bauer,70,16,2.207707501
L1_06_2018,L1_06,1,4,south,land,2,25,15,3,dry_grassland,4,2018,50,Jakob Huber,54,8,0.969408349
L1_06_2019,L1_06,1,4,south,land,2,25,15,3,dry_grassland,4,2019,70,Linda Weggler,70.5,16,1.763492686
L1_06_2020,L1_06,1,4,south,land,2,25,15,3,dry_grassland,4,2020,80,Jakob Huber,77.5,19,1.882565839
L1_06_2021,L1_06,1,4,south,land,2,25,15,3,dry_grassland,4,2021,90,Markus Bauer,101.5,18,2.053685647
L1_07_2018,L1_07,1,4,south,land,2,25,15,1,hay_meadow,4,2018,75,Jakob Huber,75.5,8,0.603002444
L1_07_2019,L1_07,1,4,south,land,2,25,15,1,hay_meadow,4,2019,70,Linda Weggler,73.5,21,1.914662483
